Time,RFID,BagID,Travel Distance,Beam Diff,Linked
2019-06-23 04:10:46.085403,00000000000001aa,000055717, 1636,46,1
2019-06-23 04:10:52.796533,0000000000000289,000055718, 1601,11,1
2019-06-23 04:10:59.246818,,000055719,,,0
2019-06-23 04:11:33.796875,000000000000019c,000055720, 1638,48,1
2019-06-23 04:11:40.560594,,000055721,,,0
2019-06-23 04:11:46.916297,0000000000000183,000055722, 1739,149,1
2019-06-23 04:11:53.392305,,000055723,,,0
2019-06-23 04:11:59.738246,,000055724,,,0
2019-06-23 04:12:06.214221,,000055725,,,0
2019-06-23 04:12:12.537944,,000055726,,,0
2019-06-23 04:12:18.913723,,000055727,,,0
2019-06-23 04:15:12.108740,00000000000001dd,000055728, 1638.00,48.00,1
2019-06-23 04:15:23.236408,0000000000000403,000055729, 1624.00,34.00,1
2019-06-23 04:15:48.303624,00000000000003ee,000055730, 1635.00,45.00,1
2019-06-23 04:19:43.996193,000000000000018c,000055731, 1640.00,50.00,1
2019-06-23 09:51:29.797953,000000000000018c,000055734, 1643,53,1
2019-06-23 09:53:23.559382,00000000000003e9,000055735, 1641,51,1
2019-06-23 09:53:43.537958,00000000000001aa,000055736, 1629,39,1
2019-06-23 09:53:56.937278,00000000000003ee,000055737, 1624,34,1
2019-06-23 09:54:13.442895,0000000000000403,000055738, 1639,49,1
2019-06-23 09:54:27.227361,00000000000001df,000055739, 1636,46,1
2019-06-23 09:54:36.811089,000000000000028c,000055740, 1625,35,1
2019-06-23 09:54:55.500649,000000000000019c,000055741, 1634,44,1
2019-06-23 09:55:26.042566,0000000000000288,000055742, 1638,48,1
2019-06-23 09:55:38.208347,0000000000000407,000055743, 1629,39,1
2019-06-23 09:55:49.310245,000000000000040a,000055744, 1640,50,1
2019-06-23 09:57:09.007456,00000000000001da,000055745, 1637,47,1
2019-06-23 09:57:23.452034,00000000000001dd,000055746, 1630,40,1
2019-06-23 09:57:34.761562,0000000000000402,000055747, 1641,51,1
2019-06-23 09:57:48.638979,00000000000001e1,000055748, 1634,44,1
2019-06-23 09:58:44.288304,0000000000000289,000055749, 1625,35,1
2019-06-23 09:59:03.204773,00000000000002ad,000055750, 1626,36,1
2019-06-23 09:59:21.946143,0000000000000183,000055751, 1645,55,1
2019-06-23 09:59:45.890384,00000000000002df,000055752, 1632,42,1
2019-06-23 09:59:56.680020,00000000000003fd,000055753, 1628,38,1
2019-06-23 10:00:28.213078,00000000000001d7,000055754, 1657.00,67.00,1
2019-06-23 10:00:36.909994,00000000000001a1,000055755, 1637.00,47.00,1
2019-06-23 10:01:09.662888,00000000000002d3,000055756, 1622.00,32.00,1
2019-06-23 10:01:59.365616,00000000000001db,000055757, 1634.00,44.00,1
2019-06-23 10:02:28.919262,00000000000002de,000055758, 1635.00,45.00,1
2019-06-23 10:02:57.527396,0000000000000285,000055759, 1631.00,41.00,1
2019-06-23 10:03:21.674780,0000000000000191,000055760, 1646.00,56.00,1
2019-06-23 10:03:48.189732,0000000000000291,000055761, 1642.00,52.00,1
2019-06-23 10:03:59.903937,00000000000002d2,000055762, 1628.00,38.00,1
2019-06-23 10:04:24.033633,00000000000003ff,000055763, 1630.00,40.00,1
2019-06-23 10:05:49.725219,0000000000000184,000055764, 1623.00,33.00,1
2019-06-23 10:05:55.236227,,000055765,,,0
2019-06-23 10:05:58.978604,00000000000001e9,000055766, 1640.00,50.00,1
2019-06-23 10:06:22.024963,,000055767,,,0
2019-06-23 10:06:26.784761,000000000000018b,000055768, 1640.00,50.00,1
2019-06-23 10:06:50.230035,00000000000001d6,000055769, 1665.00,75.00,1
2019-06-23 10:06:58.112785,0000000000000405,000055770, 1625.00,35.00,1
2019-06-23 10:07:41.569616,00000000000001a5,000055771, 1662.00,72.00,1
2019-06-23 10:08:53.485159,000000000000019e,000055772, 1658.00,68.00,1
2019-06-23 10:10:15.606592,00000000000001d8,000055773, 1667.00,77.00,1
2019-06-23 10:10:41.457088,0000000000000404,000055774, 1638.00,48.00,1
2019-06-23 10:11:08.152951,00000000000003f1,000055775, 1639.00,49.00,1
2019-06-23 10:11:50.437603,00000000000001dc,000055776, 1628.00,38.00,1
2019-06-23 10:11:59.480291,000000000000040b,000055777, 1621.00,31.00,1
2019-06-23 10:12:52.504761,00000000000001cd,000055778, 1677.00,87.00,1
2019-06-23 10:13:01.698627,0000000000000409,000055779, 1640.00,50.00,1
2019-06-23 10:15:24.825229,00000000000003ec,000055780, 1642.00,52.00,1
2019-06-23 10:15:34.075510,00000000000003f3,000055781, 1640.00,50.00,1
2019-06-23 10:16:15.831416,00000000000003fd,000055782, 1673.00,83.00,1
2019-06-23 10:16:43.207317,00000000000002dd,000055783, 1657.00,67.00,1
2019-06-23 10:17:39.694576,00000000000001de,000055784, 1674.00,84.00,1
2019-06-23 10:17:48.849241,00000000000003f2,000055785, 1631.00,41.00,1
2019-06-23 10:18:31.945421,00000000000001ae,000055786, 1641.00,51.00,1
2019-06-23 10:18:56.622107,0000000000000292,000055787, 1650.00,60.00,1
2019-06-23 10:19:10.230708,00000000000003f0,000055788, 1636.00,46.00,1
2019-06-23 10:19:51.738400,0000000000000191,000055789, 1640.00,50.00,1
2019-06-23 10:20:24.489352,0000000000000285,000055790, 1638.00,48.00,1
2019-06-23 10:20:49.661773,00000000000002de,000055791, 1631.00,41.00,1
2019-06-23 10:21:00.072189,00000000000002d3,000055792, 1666.00,76.00,1
2019-06-23 10:21:09.921147,0000000000000293,000055793, 1624.00,34.00,1
2019-06-23 10:21:37.690197,00000000000001e8,000055794, 1640.00,50.00,1
2019-06-23 10:21:46.246993,00000000000003fe,000055795, 1633.00,43.00,1
2019-06-23 10:21:58.251416,000000000000018f,000055796, 1625.00,35.00,1
2019-06-23 10:22:25.498802,00000000000003ed,000055797, 1638.00,48.00,1
2019-06-23 10:23:10.309944,0000000000000408,000055798, 1644.00,54.00,1
2019-06-23 10:23:18.803018,00000000000001db,000055799, 1665.00,75.00,1
2019-06-23 10:23:55.831873,0000000000000290,000055800, 1652.00,62.00,1
2019-06-23 10:24:04.764266,00000000000003eb,000055801, 1659.00,69.00,1
2019-06-23 10:25:22.945143,00000000000001a1,000055802, 1661.00,71.00,1
2019-06-23 10:26:01.016703,00000000000001d7,000055803, 1645.00,55.00,1
2019-06-23 10:26:11.240591,00000000000002df,000055804, 1631.00,41.00,1
2019-06-23 10:26:21.279430,0000000000000186,000055805, 1638.00,48.00,1
2019-06-23 10:27:45.473698,0000000000000183,000055806, 1638.00,48.00,1
2019-06-23 10:27:54.893577,0000000000000400,000055807, 1625.00,35.00,1
2019-06-23 10:28:17.559524,0000000000000190,000055808, 1662.00,72.00,1
