Time,RFID,BagID,Travel Distance,Beam Diff,Linked
2019-06-21 03:59:14.240584,0000000000000184,000054857, 1630,40,1
2019-06-21 04:00:59.201021,00000000000001df,000054858, 1635,45,1
2019-06-21 04:08:00.326604,0000000000000290,000054859, 1622,32,1
2019-06-21 04:08:11.876073,000000000000028c,000054860, 1641,51,1
2019-06-21 04:08:24.802590,0000000000000404,000054861, 1640,50,1
2019-06-21 04:08:31.604591,,000054862,,,0
2019-06-21 04:08:58.169679,00000000000002e1,000054863, 1658.00,68.00,1
2019-06-21 04:09:04.866259,,000054864,,,0
2019-06-21 04:09:34.830419,00000000000002dd,000054865, 1636.00,46.00,1
2019-06-21 04:12:08.668792,00000000000002df,000054866, 1632.00,42.00,1
2019-06-21 04:12:15.403501,,000054867,,,0
2019-06-21 04:12:22.014332,00000000000003ea,000054868, 1633.00,43.00,1
2019-06-21 04:12:28.791089,,000054869,,,0
2019-06-21 04:12:35.146955,,000054870,,,0
2019-06-21 04:12:37.096431,0000000000000405,000054871, 1638.00,48.00,1
2019-06-21 04:12:43.802513,,000054872,,,0
2019-06-21 04:12:54.895917,0000000000000293,000054873, 1636.00,46.00,1
2019-06-21 04:13:01.669844,,000054874,,,0
2019-06-21 04:13:42.079410,0000000000000408,000054875, 1659.00,69.00,1
2019-06-21 04:13:48.781323,,000054876,,,0
2019-06-21 10:02:59.568101,00000000000001d7,000054877, 1641.00,51.00,1
2019-06-21 10:03:09.250946,00000000000002ad,000054878, 1635.00,45.00,1
2019-06-21 10:03:32.356990,0000000000000186,000054879, 1646.00,56.00,1
2019-06-21 10:04:01.075082,00000000000002dd,000054880, 1669.00,79.00,1
2019-06-21 10:04:10.746267,000000000000028c,000054881, 1642.00,52.00,1
2019-06-21 10:05:29.934356,0000000000000404,000054882, 1634.00,44.00,1
2019-06-21 10:05:59.442502,0000000000000290,000054883, 1621.00,31.00,1
2019-06-21 10:06:06.119146,00000000000001df,000054884, 1639.00,49.00,1
2019-06-21 10:07:44.083402,0000000000000289,000054885, 1661.00,71.00,1
2019-06-21 10:07:50.281871,00000000000002de,000054886, 1667.00,77.00,1
2019-06-21 10:09:30.664233,00000000000003ff,000054887, 1645.00,55.00,1
2019-06-21 10:09:52.902395,00000000000003fe,000054888, 1661.00,71.00,1
2019-06-21 10:10:12.493405,0000000000000405,000054889, 1624.00,34.00,1
2019-06-21 10:10:32.616891,0000000000000287,000054890, 1672.00,82.00,1
2019-06-21 10:10:38.818608,0000000000000285,000054891, 1658.00,68.00,1
2019-06-21 10:11:29.001077,00000000000003ea,000054892, 1632.00,42.00,1
2019-06-21 10:11:35.453816,000000000000018f,000054893, 1658.00,68.00,1
2019-06-21 10:11:56.134308,000000000000019f,000054894, 1644.00,54.00,1
2019-06-21 10:12:37.181022,00000000000003e9,000054895, 1673.00,83.00,1
2019-06-21 10:12:43.807724,000000000000019e,000054896, 1668.00,78.00,1
2019-06-21 10:13:59.595272,00000000000002df,000054897, 1629.00,39.00,1
