Time,RFID,BagID,Travel Distance,Beam Diff
2019-06-21 04:12:35.146863,0000000000000405,000054870, 1347.00,-243.00
2019-06-21 04:12:43.802402,__I__3693896,000054872, 1295.00,-295.00
2019-06-21 10:02:59.568016,00000000000003eb,000054877, 30204.00,28614.00
2019-06-21 10:03:09.250850,00000000000003eb,000054878, 31650.00,30060.00
2019-06-21 10:36:29.027720,00000000000001da,000054934, 1376.00,-214.00
2019-06-21 10:36:35.383036,00000000000001da,000054935, 2327.00,737.00
2019-06-21 10:36:35.383101,__I__26727777,000054935, 951.00,-639.00
2019-06-21 10:36:35.383127,000000000000019f,000054935, 1159.00,-431.00
2019-06-21 10:36:38.585642,00000000000001da,000054936, 2807.00,1217.00
2019-06-21 10:36:38.585757,__I__26727777,000054936, 1431.00,-159.00
2019-06-21 10:36:45.413355,__I__26727777,000054937, 2453.00,863.00
2019-06-21 10:36:45.413445,__I__26734133,000054937, 1502.00,-88.00
2019-06-21 10:36:45.413473,000000000000018f,000054937, 1459.00,-131.00
2019-06-21 10:37:15.997367,__I__26734133,000054938, 2839.00,1249.00
2019-06-21 10:37:15.997394,000000000000018f,000054938, 2796.00,1206.00
2019-06-21 10:37:15.997410,__I__26744163,000054938, 1337.00,-253.00
2019-06-21 10:37:22.806141,__I__26744163,000054939, 2357.00,767.00
2019-06-21 10:37:22.806233,00000000000003ea,000054939, 1467.00,-123.00
2019-06-21 10:38:36.706122,00000000000003ea,000054940, 2421.00,831.00
2019-06-21 10:38:36.706212,__I__26781556,000054940, 954.00,-636.00
2019-06-21 10:38:44.047546,00000000000003ea,000054941, 3520.00,1930.00
2019-06-21 10:38:44.047670,__I__26781556,000054941, 2053.00,463.00
2019-06-21 10:38:44.047706,__I__26855456,000054941, 1099.00,-491.00
2019-06-21 10:38:50.742430,__I__26781556,000054942, 3056.00,1466.00
2019-06-21 10:38:50.742499,__I__26855456,000054942, 2102.00,512.00
2019-06-21 10:38:50.742529,0000000000000285,000054942, 1384.00,-206.00
2019-06-21 10:38:52.407378,__I__26781556,000054943, 3304.00,1714.00
2019-06-21 10:38:52.407468,__I__26855456,000054943, 2350.00,760.00
2019-06-21 10:39:16.134553,__I__26869492,000054944, 1262.00,-328.00
2019-06-21 10:39:16.134652,0000000000000287,000054944, 1465.00,-125.00
2019-06-21 10:39:17.439416,__I__26869492,000054945, 1457.00,-133.00
2019-06-21 10:39:24.211276,__I__26869492,000054946, 2472.00,882.00
2019-06-21 10:39:24.211363,__I__26894884,000054946, 1210.00,-380.00
2019-06-21 10:39:24.211401,000000000000018c,000054946, 1391.00,-199.00
2019-06-21 10:40:19.267571,__I__26894884,000054947, 2163.00,573.00
2019-06-21 10:40:19.267640,000000000000018c,000054947, 2344.00,754.00
2019-06-21 10:40:19.267676,__I__26902961,000054947, 953.00,-637.00
2019-06-21 10:40:19.267711,0000000000000405,000054947, 873.00,-717.00
2019-06-21 10:40:51.495448,000000000000018c,000054948, 3137.00,1547.00
2019-06-21 10:40:51.495536,__I__26902961,000054948, 1746.00,156.00
2019-06-21 10:41:00.752289,__I__26958017,000054949, 2177.00,587.00
2019-06-21 10:42:09.535058,__I__26958017,000054950, 3520.00,1930.00
2019-06-21 10:45:56.045971,000000000000028c,000054957, 1380.00,-210.00
2019-06-21 10:46:02.426639,000000000000028c,000054958, 2333.00,743.00
2019-06-21 10:46:02.426752,__I__27294795,000054958, 953.00,-637.00
2019-06-21 10:46:02.426785,00000000000002dd,000054958, 1174.00,-416.00
2019-06-21 10:46:05.509551,000000000000028c,000054959, 2795.00,1205.00
2019-06-21 10:46:05.509625,__I__27294795,000054959, 1415.00,-175.00
2019-06-21 10:46:43.703858,__I__27294795,000054960, 2486.00,896.00
2019-06-21 10:46:43.703898,__I__27301176,000054960, 1533.00,-57.00
2019-06-21 10:47:15.001353,__I__27301176,000054961, 2538.00,948.00
2019-06-21 10:47:15.001434,00000000000002ad,000054961, 1417.00,-173.00
2019-06-21 10:47:16.675319,__I__27301176,000054962, 2789.00,1199.00
2019-06-21 10:47:23.720200,__I__27373751,000054963, 1304.00,-286.00
2019-06-21 10:48:31.991999,00000000000001dc,000054964, 1208.00,-382.00
2019-06-21 10:48:51.273510,00000000000001dc,000054965, 2167.00,577.00
2019-06-21 10:48:51.273576,__I__27450741,000054965, 959.00,-631.00
2019-06-21 10:48:51.273601,00000000000003f3,000054965, 936.00,-654.00
2019-06-21 10:48:56.114176,00000000000001dc,000054966, 2892.00,1302.00
2019-06-21 10:49:20.381467,00000000000003f3,000054967, 2666.00,1076.00
2019-06-21 10:49:56.721279,00000000000003f3,000054968, 3637.00,2047.00
2019-06-21 10:49:56.721348,0000000000000406,000054968, 2538.00,948.00
2019-06-21 10:49:56.721383,00000000000002df,000054968, 1367.00,-223.00
2019-06-21 10:50:03.095048,00000000000003f3,000054969, 4589.00,2999.00
2019-06-21 10:50:03.095160,0000000000000406,000054969, 3490.00,1900.00
2019-06-21 10:50:03.095194,00000000000002df,000054969, 2319.00,729.00
2019-06-21 10:50:03.095215,__I__27535471,000054969, 952.00,-638.00
2019-06-21 10:50:03.095237,00000000000001d7,000054969, 1274.00,-316.00
2019-06-21 10:50:05.362151,0000000000000406,000054970, 3829.00,2239.00
2019-06-21 10:50:05.362226,00000000000002df,000054970, 2658.00,1068.00
2019-06-21 10:50:05.362255,__I__27535471,000054970, 1291.00,-299.00
2019-06-21 10:50:26.157482,00000000000002df,000054971, 3669.00,2079.00
2019-06-21 10:50:26.157550,__I__27535471,000054971, 2302.00,712.00
2019-06-21 10:50:26.157568,__I__27541845,000054971, 1350.00,-240.00
2019-06-21 10:50:26.157579,00000000000001e9,000054971, 1488.00,-102.00
2019-06-21 10:50:32.630055,__I__27541845,000054972, 2317.00,727.00
2019-06-21 10:50:32.630151,00000000000001e9,000054972, 2455.00,865.00
2019-06-21 10:50:32.630181,__I__27564907,000054972, 967.00,-623.00
2019-06-21 10:50:32.630203,0000000000000408,000054972, 1337.00,-253.00
2019-06-21 10:50:39.005956,00000000000001e9,000054973, 3410.00,1820.00
2019-06-21 10:50:39.006031,__I__27564907,000054973, 1922.00,332.00
2019-06-21 10:50:39.006071,0000000000000408,000054973, 2292.00,702.00
2019-06-21 10:50:39.006093,__I__27571380,000054973, 955.00,-635.00
2019-06-21 10:52:55.573618,0000000000000408,000054974, 3180.00,1590.00
2019-06-21 10:52:55.573695,__I__27571380,000054974, 1843.00,253.00
2019-06-21 10:52:55.573737,__I__27577755,000054974, 888.00,-702.00
2019-06-21 10:53:02.334590,__I__27571380,000054975, 2855.00,1265.00
2019-06-21 10:53:02.334660,__I__27577755,000054975, 1900.00,310.00
2019-06-21 10:53:09.286376,__I__27577755,000054976, 2942.00,1352.00
2019-06-21 10:53:09.286457,__I__27721084,000054976, 1042.00,-548.00
2019-06-21 10:53:17.230007,__I__27721084,000054977, 2233.00,643.00
2019-06-21 10:54:53.281927,00000000000001dc,000054980, 1396.00,-194.00
2019-06-21 10:55:13.339288,00000000000001dc,000054981, 2360.00,770.00
2019-06-21 10:55:13.339374,__I__27832031,000054981, 964.00,-626.00
2019-06-21 10:55:13.339402,0000000000000292,000054981, 1251.00,-339.00
2019-06-21 10:55:19.808484,00000000000001dc,000054982, 3328.00,1738.00
2019-06-21 10:55:19.808565,__I__27832031,000054982, 1932.00,342.00
2019-06-21 10:55:19.808596,0000000000000292,000054982, 2219.00,629.00
2019-06-21 10:55:19.808618,__I__27852089,000054982, 968.00,-622.00
2019-06-21 10:55:19.808638,00000000000001da,000054982, 911.00,-679.00
2019-06-21 10:55:32.140724,0000000000000292,000054983, 3134.00,1544.00
2019-06-21 10:55:32.140834,__I__27852089,000054983, 1883.00,293.00
2019-06-21 10:55:32.140854,00000000000001da,000054983, 1826.00,236.00
2019-06-21 10:55:32.140867,__I__27858558,000054983, 915.00,-675.00
2019-06-21 10:55:57.912090,__I__27852089,000054984, 2887.00,1297.00
2019-06-21 10:55:57.912167,00000000000001da,000054984, 2830.00,1240.00
2019-06-21 10:55:57.912194,__I__27858558,000054984, 1919.00,329.00
2019-06-21 10:55:57.912230,__I__27870890,000054984, 1004.00,-586.00
2019-06-21 10:56:04.364925,__I__27858558,000054985, 2884.00,1294.00
2019-06-21 10:56:04.365007,__I__27870890,000054985, 1969.00,379.00
2019-06-21 10:56:04.365037,00000000000003ec,000054985, 1556.00,-34.00
2019-06-21 10:56:10.744469,__I__27870890,000054986, 2924.00,1334.00
2019-06-21 10:56:10.744557,00000000000003ec,000054986, 2511.00,921.00
2019-06-21 10:56:10.744587,__I__27903114,000054986, 955.00,-635.00
2019-06-21 10:56:10.744611,00000000000001d6,000054986, 1280.00,-310.00
2019-06-21 10:56:30.002114,00000000000003ec,000054987, 3469.00,1879.00
2019-06-21 10:56:30.002212,__I__27903114,000054987, 1913.00,323.00
2019-06-21 10:56:30.002252,00000000000001d6,000054987, 2238.00,648.00
2019-06-21 10:56:30.002290,__I__27909494,000054987, 958.00,-632.00
2019-06-21 10:56:30.002342,00000000000001a9,000054987, 850.00,-740.00
2019-06-21 10:57:43.284745,00000000000001d6,000054988, 3210.00,1620.00
2019-06-21 10:57:43.284826,__I__27909494,000054988, 1930.00,340.00
2019-06-21 10:57:43.284872,00000000000001a9,000054988, 1822.00,232.00
2019-06-21 10:57:43.284895,__I__27928752,000054988, 972.00,-618.00
2019-06-21 10:57:49.650516,__I__27909494,000054989, 2883.00,1293.00
2019-06-21 10:57:49.650597,00000000000001a9,000054989, 2775.00,1185.00
2019-06-21 10:57:49.650637,__I__27928752,000054989, 1925.00,335.00
2019-06-21 10:57:49.650658,__I__28002034,000054989, 953.00,-637.00
2019-06-21 10:57:49.650676,00000000000001d8,000054989, 1563.00,-27.00
2019-06-21 10:57:56.107240,00000000000001a9,000054990, 3741.00,2151.00
2019-06-21 10:57:56.107340,__I__27928752,000054990, 2891.00,1301.00
2019-06-21 10:57:56.107368,__I__28002034,000054990, 1919.00,329.00
2019-06-21 10:57:56.107386,00000000000001d8,000054990, 2529.00,939.00
2019-06-21 10:57:56.107403,__I__28008400,000054990, 966.00,-624.00
2019-06-21 10:57:56.107425,00000000000001de,000054990, 1477.00,-113.00
2019-06-21 10:58:02.562179,__I__28002034,000054991, 2885.00,1295.00
2019-06-21 10:58:02.562292,00000000000001d8,000054991, 3495.00,1905.00
2019-06-21 10:58:02.562324,__I__28008400,000054991, 1932.00,342.00
2019-06-21 10:58:02.562346,00000000000001de,000054991, 2443.00,853.00
2019-06-21 10:58:02.562384,__I__28014857,000054991, 965.00,-625.00
2019-06-21 10:58:02.562409,0000000000000401,000054991, 1186.00,-404.00
2019-06-21 10:58:22.531543,__I__28008400,000054992, 2892.00,1302.00
2019-06-21 10:58:22.531638,00000000000001de,000054992, 3403.00,1813.00
2019-06-21 10:58:22.531667,__I__28014857,000054992, 1925.00,335.00
2019-06-21 10:58:22.531688,0000000000000401,000054992, 2146.00,556.00
2019-06-21 10:58:22.531727,__I__28021312,000054992, 960.00,-630.00
