2019-06-23 03:15:22.283311, INFO, BHS_INTF, Got BAG_END
2019-06-23 04:10:46.063880, INFO, BHS_INTF, Got BAG_START
2019-06-23 04:10:52.774867, INFO, BHS_INTF, Got BAG_END
2019-06-23 04:10:52.776418, INFO, BHS_INTF, Got BAG_START
2019-06-23 04:10:59.218232, INFO, BHS_INTF, Got BAG_END
2019-06-23 04:10:59.224307, INFO, BHS_INTF, Got BAG_START
2019-06-23 04:11:00.834499, INFO, BHS_INTF, Got BAG_END
2019-06-23 04:11:33.778694, INFO, BHS_INTF, Got BAG_START
2019-06-23 04:11:40.535626, INFO, BHS_INTF, Got BAG_END
2019-06-23 04:11:40.542172, INFO, BHS_INTF, Got BAG_START
2019-06-23 04:11:46.890695, INFO, BHS_INTF, Got BAG_END
2019-06-23 04:11:46.896388, INFO, BHS_INTF, Got BAG_START
2019-06-23 04:11:53.348795, INFO, BHS_INTF, Got BAG_END
2019-06-23 04:11:53.350372, INFO, BHS_INTF, Got BAG_START
2019-06-23 04:11:59.716238, INFO, BHS_INTF, Got BAG_END
2019-06-23 04:11:59.718224, INFO, BHS_INTF, Got BAG_START
2019-06-23 04:12:06.156247, INFO, BHS_INTF, Got BAG_END
2019-06-23 04:12:06.162164, INFO, BHS_INTF, Got BAG_START
2019-06-23 04:12:12.505541, INFO, BHS_INTF, Got BAG_END
2019-06-23 04:12:12.508965, INFO, BHS_INTF, Got BAG_START
2019-06-23 04:12:18.887515, INFO, BHS_INTF, Got BAG_END
2019-06-23 04:12:18.893497, INFO, BHS_INTF, Got BAG_START
2019-06-23 04:12:23.697121, INFO, BHS_INTF, Got BAG_END
2019-06-23 04:15:12.074206, INFO, BHS_INTF, Got BAG_START
2019-06-23 04:15:16.850505, INFO, BHS_INTF, Got BAG_END
2019-06-23 04:15:23.203404, INFO, BHS_INTF, Got BAG_START
2019-06-23 04:15:28.008771, INFO, BHS_INTF, Got BAG_END
2019-06-23 04:15:48.283665, INFO, BHS_INTF, Got BAG_START
2019-06-23 04:15:53.056620, INFO, BHS_INTF, Got BAG_END
2019-06-23 04:19:43.976101, INFO, BHS_INTF, Got BAG_START
2019-06-23 04:19:48.766495, INFO, BHS_INTF, Got BAG_END
2019-06-23 04:45:29.654306, INFO, BHS_INTF, Got BAG_END
2019-06-23 09:47:18.483083, INFO, BHS_INTF, Got BAG_END
2019-06-23 09:51:29.756914, INFO, BHS_INTF, Got BAG_START
2019-06-23 09:51:34.515397, INFO, BHS_INTF, Got BAG_END
2019-06-23 09:53:23.494638, INFO, BHS_INTF, Got BAG_START
