2019-05-06 09:46:10.235897, INFO, BHS_INTF, LinkRequestCommand: bag [0000000000000161] is in the window to link with internal bag_id [000022542], scan state: NotScanned, travel dist: 1659, beam_diff: 69 entry pos: 22973
2019-05-06 09:46:17.273477, INFO, BHS_INTF, LinkRequestCommand: bag [0000000000000143] is in the window to link with internal bag_id [000022543], scan state: NotScanned, travel dist: 1684, beam_diff: 94 entry pos: 24005
2019-05-06 09:48:26.632034, INFO, BHS_INTF, LinkRequestCommand: bag [000000000000014d] is in the window to link with internal bag_id [000022544], scan state: NotScanned, travel dist: 1639.00, beam_diff: 49.00 entry pos: 36519.00
2019-05-06 10:00:02.070076, INFO, BHS_INTF, LinkRequestCommand: bag [000000000000016f] is in the window to link with internal bag_id [000022546], scan state: NotScanned, travel dist: 1669, beam_diff: 79 entry pos: 23316
2019-05-06 10:00:41.322504, INFO, BHS_INTF, LinkRequestCommand: bag [0000000000000173] is in the window to link with internal bag_id [000022548], scan state: NotScanned, travel dist: 1650.00, beam_diff: 60.00 entry pos: 29231.00
2019-05-06 10:05:51.531016, INFO, BHS_INTF, LinkRequestCommand: bag [0000000000000178] is in the window to link with internal bag_id [000022549], scan state: NotScanned, travel dist: 1639.00, beam_diff: 49.00 entry pos: 75865.00
2019-05-06 10:08:01.416274, INFO, BHS_INTF, LinkRequestCommand: bag [0000000000000178] is in the window to link with internal bag_id [000022550], scan state: NotScanned, travel dist: 1642.00, beam_diff: 52.00 entry pos: 95388.00
2019-05-06 10:11:25.117100, INFO, BHS_INTF, LinkRequestCommand: bag [0000000000000176] is in the window to link with internal bag_id [000022551], scan state: NotScanned, travel dist: 1651.00, beam_diff: 61.00 entry pos: 126014.00
2019-05-06 10:38:37.298099, INFO, BHS_INTF, LinkRequestCommand: bag [000000000000015a] is in the window to link with internal bag_id [000022552], scan state: NotScanned, travel dist: 1646.00, beam_diff: 56.00 entry pos: 369313.00
2019-05-06 10:38:44.184825, INFO, BHS_INTF, LinkRequestCommand: bag [0000000000000141] is in the window to link with internal bag_id [000022553], scan state: NotScanned, travel dist: 1637.00, beam_diff: 47.00 entry pos: 370352.00
2019-05-06 10:38:52.217587, INFO, BHS_INTF, LinkRequestCommand: bag [0000000000000176] is in the window to link with internal bag_id [000022554], scan state: NotScanned, travel dist: 1626.00, beam_diff: 36.00 entry pos: 371564.00
2019-05-06 10:39:00.339840, INFO, BHS_INTF, LinkRequestCommand: bag [0000000000000156] is in the window to link with internal bag_id [000022555], scan state: NotScanned, travel dist: 1628.00, beam_diff: 38.00 entry pos: 372778.00
2019-05-06 10:41:44.059333, INFO, BHS_INTF, LinkRequestCommand: bag [000000000000016b] is in the window to link with internal bag_id [000022556], scan state: NotScanned, travel dist: 1648.00, beam_diff: 58.00 entry pos: 376560.00
2019-05-06 10:41:51.735363, INFO, BHS_INTF, LinkRequestCommand: bag [0000000000000157] is in the window to link with internal bag_id [000022557], scan state: NotScanned, travel dist: 1634.00, beam_diff: 44.00 entry pos: 377725.00
2019-05-06 10:42:12.967632, INFO, BHS_INTF, LinkRequestCommand: bag [0000000000000179] is in the window to link with internal bag_id [000022558], scan state: NotScanned, travel dist: 1623.00, beam_diff: 33.00 entry pos: 378724.00
2019-05-06 10:42:39.251081, INFO, BHS_INTF, LinkRequestCommand: bag [000000000000014a] is in the window to link with internal bag_id [000022559], scan state: NotScanned, travel dist: 1640.00, beam_diff: 50.00 entry pos: 379998.00
2019-05-06 10:43:11.989463, INFO, BHS_INTF, LinkRequestCommand: bag [0000000000000147] is in the window to link with internal bag_id [000022560], scan state: NotScanned, travel dist: 1678.00, beam_diff: 88.00 entry pos: 381092.00
