AnalogicStandaloneType2_20190616.log:2019-06-16 04:03:39.355481, INFO, BHS_INTF, LinkRequestCommand: bag [00000000000001a9] is in the window to link with internal bag_id [000050046], scan state: NotScanned, travel dist: 1652.00, beam_diff: 62.00 entry pos: 30653.00
AnalogicStandaloneType2_20190616.log:2019-06-16 04:04:34.550172, INFO, BHS_INTF, LinkRequestCommand: bag [00000000000002d3] is in the window to link with internal bag_id [000050047], scan state: NotScanned, travel dist: 1645.00, beam_diff: 55.00 entry pos: 38965.00
AnalogicStandaloneType2_20190616.log:2019-06-16 04:07:33.753415, INFO, BHS_INTF, LinkRequestCommand: bag [0000000000000293] is in the window to link with internal bag_id [000050048], scan state: NotScanned, travel dist: 1637.00, beam_diff: 47.00 entry pos: 65888.00
AnalogicStandaloneType2_20190616.log:2019-06-16 04:07:40.485193, INFO, BHS_INTF, LinkRequestCommand: bag [00000000000003ff] is in the window to link with internal bag_id [000050049], scan state: NotScanned, travel dist: 1636.00, beam_diff: 46.00 entry pos: 66897.00
AnalogicStandaloneType2_20190616.log:2019-06-16 04:08:02.328425, INFO, BHS_INTF, LinkRequestCommand: bag [0000000000000291] is in the window to link with internal bag_id [000050050], scan state: NotScanned, travel dist: 1631.00, beam_diff: 41.00 entry pos: 70176.00
AnalogicStandaloneType2_20190616.log:2019-06-16 04:08:58.818764, INFO, BHS_INTF, LinkRequestCommand: bag [00000000000001dd] is in the window to link with internal bag_id [000050051], scan state: NotScanned, travel dist: 1640.00, beam_diff: 50.00 entry pos: 78640.00
AnalogicStandaloneType2_20190616.log:2019-06-16 04:09:11.549442, INFO, BHS_INTF, LinkRequestCommand: bag [0000000000000292] is in the window to link with internal bag_id [000050052], scan state: NotScanned, travel dist: 1625.00, beam_diff: 35.00 entry pos: 80560.00
AnalogicStandaloneType2_20190616.log:2019-06-16 04:09:18.287062, INFO, BHS_INTF, LinkRequestCommand: bag [00000000000002de] is in the window to link with internal bag_id [000050053], scan state: NotScanned, travel dist: 1618.00, beam_diff: 28.00 entry pos: 81575.00
AnalogicStandaloneType2_20190616.log:2019-06-16 04:10:03.683144, INFO, BHS_INTF, LinkRequestCommand: bag [0000000000000191] is in the window to link with internal bag_id [000050054], scan state: NotScanned, travel dist: 1627.00, beam_diff: 37.00 entry pos: 85096.00
AnalogicStandaloneType2_20190616.log:2019-06-16 04:10:10.485676, INFO, BHS_INTF, LinkRequestCommand: bag [00000000000002d2] is in the window to link with internal bag_id [000050055], scan state: NotScanned, travel dist: 1625.00, beam_diff: 35.00 entry pos: 86116.00
AnalogicStandaloneType2_20190616.log:2019-06-16 04:10:31.375856, INFO, BHS_INTF, LinkRequestCommand: bag [0000000000000402] is in the window to link with internal bag_id [000050056], scan state: NotScanned, travel dist: 1631.00, beam_diff: 41.00 entry pos: 87136.00
AnalogicStandaloneType2_20190616.log:2019-06-16 04:11:20.788287, INFO, BHS_INTF, LinkRequestCommand: bag [0000000000000405] is in the window to link with internal bag_id [000050057], scan state: NotScanned, travel dist: 1658.00, beam_diff: 68.00 entry pos: 90132.00
AnalogicStandaloneType2_20190616.log:2019-06-16 04:11:27.736914, INFO, BHS_INTF, LinkRequestCommand: bag [0000000000000407] is in the window to link with internal bag_id [000050058], scan state: NotScanned, travel dist: 1646.00, beam_diff: 56.00 entry pos: 91184.00
